Column1,movie_title,year,place,rating,vote,link,duration,genre
0,The Batman,2022,1,8,434477,/title/tt1877830/,176 min," Action, Crime, Drama            "
1,The Northman,2022,2,7.8,40320,/title/tt11138512/,137 min," Action, Adventure, Drama            "
2,Everything Everywhere All at Once,2022,3,8.8,31625,/title/tt6710474/,139 min," Action, Adventure, Comedy            "
3,KGF: Chapter 2,2022,4,8.9,55,/title/tt10698680/,168 min," Action, Crime, Drama            "
4,Spider-Man: No Way Home,2021,5,8.4,86180,/title/tt10872600/,148 min," Action, Adventure, Fantasy            "
5,Dune,2021,6,8.1,613257,/title/tt1160419/,155 min," Action, Adventure, Drama            "
6,CODA,2021,7,8,100,/title/tt10366460/,111 min," Comedy, Drama, Music            "
7,RRR,2022,8,8.4,558194,/title/tt8178634/,187 min," Action, Drama            "
8,Pirates of the Caribbean: The Curse of the Black Pearl,2003,9,8,104820,/title/tt0325980/,143 min," Action, Adventure, Fantasy            "
9, The Godfather,1972,10,9.2,61372,/title/tt0068646/,175 min," Crime, Drama            "
10,The Dark Knight,2008,11,9,1078146,/title/tt0468569/,152 min," Action, Crime, Drama            "
11,KGF: Chapter 1,2018,12,8.2,"305,413,918",/title/tt7838252/,156 min," Action, Crime, Drama            "
12,The Shawshank Redemption,1994,13,9.3,240,/title/tt0111161/,142 min, Drama            
13,The Gentlemen,2019,14,7.8,1777423,/title/tt8367814/,113 min," Action, Comedy, Crime            "
14,American Psycho,2000,15,7.6,"134,966,411",/title/tt0144084/,102 min," Crime, Drama, Horror            "
15,Avengers: Endgame,2019,16,8.4,2,/title/tt4154796/,181 min," Action, Adventure, Drama            "
16,Interstellar,2014,17,8.6,2550991,/title/tt0816692/,169 min," Adventure, Drama, Sci-Fi            "
17,Avatar,2009,18,7.8,"534,858,444",/title/tt0499549/,162 min," Action, Adventure, Fantasy            "
18,The Wolf of Wall Street,2013,19,8.2,3,/title/tt0993846/,180 min," Biography, Comedy, Crime            "
19,Harry Potter and the Sorcerer's Stone,2001,20,7.6,72264,/title/tt0241527/,152 min," Adventure, Family, Fantasy            "
20,Zack Snyder's Justice League,2021,21,8,2581692,/title/tt12361974/,242 min," Action, Adventure, Fantasy            "
21,Joker (I),2019,22,8.4,"28,341,469",/title/tt7286456/,122 min," Crime, Drama, Thriller            "
22,Titanic,1997,23,7.9,1,/title/tt0120338/,194 min," Drama, Romance            "
23,Batman Begins,2005,24,8.2,312189,/title/tt0372784/,140 min," Action, Crime, Drama            "
24,Once Upon a Time In Hollywood,2019,25,7.6,565678,/title/tt7131622/,161 min," Comedy, Drama            "
25,The Worst Person in the World,2021,26,7.9,"15,070,285",/title/tt10370710/,128 min," Comedy, Drama, Romance            "
26,Zombieland,2009,27,7.6,1045859,/title/tt1156398/,88 min," Action, Comedy, Horror            "
27,Blade Runner 2049,2017,28,8,"858,373,000",/title/tt1856101/,164 min," Action, Drama, Mystery            "
28,Fight Club,1999,29,8.8,81,/title/tt0137523/,139 min, Drama            
29,The Dark Knight Rises,2012,30,8.4,1725551,/title/tt1345836/,164 min," Action, Crime, Drama            "
30,Inception,2010,31,8.8,"188,020,017",/title/tt1375666/,148 min," Action, Adventure, Sci-Fi            "
31,Blazing Saddles,1974,32,7.7,28,/title/tt0071230/,93 min," Comedy, Western            "
32,The Goonies,1985,33,7.7,1190684,/title/tt0089218/,114 min," Adventure, Comedy, Family            "
33,Jurassic Park,1993,34,8.2,"760,507,625",/title/tt0107290/,127 min," Action, Adventure, Sci-Fi            "
34,Pulp Fiction,1994,35,8.9,1338251,/title/tt0110912/,154 min," Crime, Drama            "
35,Schindler's List,1993,36,9,"116,900,694",/title/tt0108052/,195 min," Biography, Drama, History            "
36,Knives Out,2019,37,7.9,134,/title/tt8946378/,130 min," Comedy, Crime, Drama            "
37,Prisoners,2013,38,8.1,751148,/title/tt1392214/,153 min," Crime, Drama, Mystery            "
38,1917,2019,39,8.2,"317,575,550",/title/tt8579674/,119 min," Action, Drama, War            "
39,Alien,1979,40,8.5,375548,/title/tt0078748/,117 min," Horror, Sci-Fi            "
40,Parasite,2019,41,8.5,1186752,/title/tt6751668/,132 min," Comedy, Drama, Horror            "
