,Name,Type,Duration,Year,Director,Actor,Language,Reviews,Rank,Country,Century
0," Tick, Tick…Boom!",Drama / Biography / Song And Dance,122,2021,Lin-Manuel Miranda,Andrew Garfield / Alexandra Shipp / Robin de Zizers,English,53077,8.2,USA,21.20
1, Große Freiheit,Drama / Gay,116,2021,Sebastian Meizer,Franz Rogowski / Georg Friedrich / Anton van Luc,German,3461,8.0,Austria/Germany,21.20
2, The Fifth Element,Action / Sci-Fi / Adventure,126,1997,Luc Besson,Bruce Willis / Gary Oldman / Milla Jovovich,English,189140,8.0,France/UK/US,20.90
3,U-571,Action / Drama / War,116,2000,Jonathan Mostow,Matthew McConaughey / Bill Paxton / Harvey Keitel,English,48620,8.1,France/USA,21.00
4,miracle ,Action / Comedy / Crime / Drama,127,1989,Jackie Chan,Jackie Chan / Anita Mui / Gui Yalei,Cantonese,35544,8.1,Hong Kong,20.80
5,love myth,Drama / Comedy / Romance,112,2021,Shao Yihui,Xu Zheng / Ma Yili / Wu Yue,Mandarin,589996,8.1,Mainland China,21.20
6,The world is big and salvation lurks everywhere,Drama / Family,105,2008,Stefan Komandareff,Mickey Manojlovich / Carlo Lyubek / Christo Mutavchiev,Bulgarian,14123,8.2,Bulgaria/Germany/Slovenia/Hungary,21.00
7, As Good as It Gets,Romance / Comedy / Drama,139,1997,James L. Brooks,Jack Nicholson / Helen Hunt / Greg Kinnear,English,28596,8.2,USA,20.90
8,very suddenly,Crime / Drama,90,1998,You Dazhi,Ren Dahua / Liu Qingyun / Meng Jiahui,Cantonese,32547,8.0,Hong Kong,20.90
9,Mom and Dad not at home ,Drama / Family,99,2013,Chen Zheyi,Yang Yanyan / Chen Tianwen / Angelique Bayani,Mandarin,33655,8.0,Singapore,21.10
10, Mute Witness,Mystery / Thriller / Crime,95,1995,Anthony Wheeler,Marina Zudina / Faye Ripley / Ivan Richards,English,27263,8.0,Russia/UK/Germany,20.90
11, Un long dimanche de fiançailles,Drama / Mystery / Romance / War,133,2004,Jean-Pierre Genet,Audrey Tautou / Gaspard Ulliel / Dominique Pinon,French,65655,8.1,France/USA,21.00
12, Matchstick Men,Drama / Comedy / Crime,116,2003,Ridley Scott,Nicolas Cage / Sam Rockwell / Alison Lohman,English,137482,8.2,USA/UK,21.00
13, I Am Legend,Drama / Action / Thriller / Adventure,101,2007,Francis Lawrence,Will Smith / Alice Braga / Charlie Tahan,English,376557,8.1,USA,21.00
14, Training Day,Crime / Drama / Thriller,122,2001,Anthony Fuqua,Denzel Washington / Ethan Hawke / Scott Glenn,English,79585,8.0,USA,21.00
15,Farewell Ark,Suspense / Erotica,127,1984,Shuji Terayama,Tsutomu Yamazaki / Mayumi Ogawa / Yoshio Harada,Japanese,6348,8.1,Japan,20.80
16, Dancer in the Dark,Drama / Song And Dance,140,2000,Lars von Trier,Bjork / Catherine Deneuve / David Morse,English,78963,8.2,Denmark/Germany/Netherlands/Italy/USA/UK/France/Sweden/Finland/Iceland/Argentina/Norway/Taiwan/Belgium,21.00
17, The Rocky Horror Picture Show,Comedy / Song And Dance,100,1975,Jim Sharman,Tim Curry / Richard O'Brien / Patricia Quinn,English,22300,8.1,UK/USA,20.70
18, Down by Law,Drama / Comedy / Crime,107,1986,Jim Jarmusch,Tom Waits / John Laurie / Roberto Benigni,English,11594,8.2,USA/West Germany,20.80
19, Brazil,Drama / Science Fiction,132,1985,Terry Gilliam,Jonathan Pryce / Robert De Niro / Katherine Haymond,English,15830,8.2,UK/USA,20.80
20, L'incredibile storia dell'isola delle rose,Comedy,119,2020,Sidney Hibilia,Elio Germano / Leonardo Liddy / Matilda de Angelis,Italian,28005,8.0,Italy,21.20
21,Master Dharma,Drama / Biography / Action,89,1994,Yuan Zhenyang,Er Dongsheng / Fan Shaohuang,Cantonese,3824,8.3,Hong Kong,20.90
22, The Crucible,Drama / History,124,1996,Nicholas Hytner,Daniel Day-Lewis / Winona Ryder / Paul Schofield,English,3558,8.2,USA,20.90
23, Bent,Drama / History / War / Same-Sex,105,1997,Sean Matthias,Clive Owen / Rotaire Brutt / Paul Bettany,English,7623,8.1,UK / Japan,20.90
24, The Great Gatsby,Drama / Romance,144,1974,Jack Clayton,Robert Redford / Mia Farrow / Bruce Dern,English,21769,8.1,USA,20.70
25,Moeyuki Suzaku Moe no Suzaku,Drama,95,1997,Naomi Kawase,Jun Kunimura / Machiko Ono / Sayaka Yamaguchi,Japanese,4743,8.0,Japan,20.90
26,A World Without Thieves,Action / Crime / Drama,121,2004,Feng Xiaogang,Andy Lau / Rene Liu / Wang Baoqiang,Mandarin,466521,8.1,Mainland China/Hong Kong,21.00
27, Interiors,Drama,92,1978,Woody Allen,Kristen Griffith / Mary Beth Hurt / Richard Jordan,English,4205,8.1,USA,20.70
28,whenever it changes,Comedy / Drama / Romance,97,2007,Luo Yongchang,Miriam Yeung / Eason Chan / Huang Bo,Cantonese,50562,8.0,Mainland China/Hong Kong,21.00
29,Star and Moon Fairy Tale ,Drama / Romance / Thriller,106,1999,Li Rengang,Leslie Cheung / Tokiwa Takako / Hoshino Yuka,Cantonese,36289,8.2,Hong Kong / Japan,20.90
30,golden jade full hall ,Comedy / Romance,106,1995,Tsui Hark,Leslie Cheung / Anita Yuen / Zhong Zhentao,Cantonese,86811,8.1,Hong Kong,20.90
